scenario,contrast,estimate_points,lower_points,upper_points,marginal_confidence,proteins,resolved_groups,blocks
bins_1,MEMBRANE_INTERFACE-TM_CORE,0.5721596520484916,0.23710184899367112,0.9553160792039973,0.975,398,240,173
bins_1,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.46927006973221835,-1.290034070069051,0.25652966234439395,0.95,147,82,57
bins_1,STRUCTURED_EXTRAMEMBRANE-TM_CORE,-0.0751355985038972,-0.9452400678821751,0.835573978900258,0.975,187,111,76
bins_5,MEMBRANE_INTERFACE-TM_CORE,0.36444583223462085,0.049074388123798524,0.7022162365173263,0.975,462,275,195
bins_5,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.42195683114232396,-1.0428146871520925,0.15396996036029026,0.95,226,131,90
bins_5,STRUCTURED_EXTRAMEMBRANE-TM_CORE,-0.051438231443788354,-0.8982795456764947,0.793354102242691,0.975,263,157,105
broad_family,MEMBRANE_INTERFACE-TM_CORE,0.6876661313123836,0.26441414792163526,1.1744828264326872,0.975,437,170,168
broad_family,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.6083218769193018,-1.4183848523930018,0.13410295476511125,0.95,186,72,70
broad_family,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.256747074999001,-0.889598819757301,1.3555458894978993,0.975,229,90,89
curated_homology,MEMBRANE_INTERFACE-TM_CORE,0.6147633312564245,0.21528361193204354,1.0600550304170666,0.975,437,201,186
curated_homology,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.6002312311446321,-1.38157976754415,0.08401617378042162,0.95,186,80,74
curated_homology,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.15800409689968048,-0.8694964677608539,1.1576339340804953,0.975,229,106,95
exact_construct,MEMBRANE_INTERFACE-TM_CORE,0.259700890267355,-0.3496854671545877,0.965135535016789,0.975,152,103,78
exact_construct,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.2619985942975627,-1.6218541586213693,0.9126298339453314,0.95,64,46,36
exact_construct,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.6948522665622124,-0.6804348044200683,2.17723959496083,0.975,75,54,43
family_novel,MEMBRANE_INTERFACE-TM_CORE,0.8072866664653277,0.4124703559124982,1.2462317477806728,0.975,284,206,165
family_novel,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-1.015707826540142,-1.8919949211747908,-0.21069939922366954,0.95,108,77,62
family_novel,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.04379808296443834,-1.1061951851291112,1.1805205618548558,0.975,138,101,79
identity_100,MEMBRANE_INTERFACE-TM_CORE,0.600333873502589,0.18898681314278956,1.0697243668072447,0.975,338,212,165
identity_100,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.2450033989007758,-1.0855731625539933,0.5425727616835547,0.95,142,84,64
identity_100,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.45120037300267296,-0.5014473774652233,1.4293535193631852,0.975,173,109,81
post_2018_release,MEMBRANE_INTERFACE-TM_CORE,0.6557497667178179,0.23234447814178974,1.1162759036849763,0.975,276,178,131
post_2018_release,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.612647391389455,-1.38285665334023,0.05833684408703021,0.95,145,90,62
post_2018_release,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.15997959209251572,-0.8302759504437816,1.1684167595752621,0.975,178,117,80
primary,MEMBRANE_INTERFACE-TM_CORE,0.5827439587742237,0.2342525902034268,0.9693052051067319,0.975,437,260,186
primary,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.5941059073888296,-1.328933280367034,0.05691498603235099,0.95,186,107,74
primary,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.06480166736286795,-0.8088097517660738,0.9397327572570779,0.975,229,140,95
strict_sequence_groups,MEMBRANE_INTERFACE-TM_CORE,0.5621011519716382,0.2226488717017091,0.9406751446687907,0.975,437,270,186
strict_sequence_groups,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.5706091016869619,-1.3035584361306143,0.09785297048992732,0.95,186,110,74
strict_sequence_groups,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.08261129111294015,-0.7643862150918498,0.9553126063776344,0.975,229,145,95
unresolved_excluded,MEMBRANE_INTERFACE-TM_CORE,0.5839130805096613,0.23408856755774574,0.9713843890218923,0.975,393,260,186
unresolved_excluded,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.5987889423894363,-1.3352074426594849,0.058915943278604214,0.95,172,107,74
unresolved_excluded,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.03798285122757743,-0.827411326835188,0.9187049026969001,0.975,212,140,95
v01_compatible,MEMBRANE_INTERFACE-TM_CORE,0.3442275641286648,0.011563685344959848,0.7014715582339041,0.975,459,276,196
v01_compatible,STRUCTURED_EXTRAMEMBRANE-MEMBRANE_INTERFACE,-0.1900563880108656,-0.9875028903375127,0.5247449947061074,0.95,228,133,92
v01_compatible,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.09844423172365854,-0.7654695000157489,0.927040263537106,0.975,268,158,105
