scenario,label,contrast,estimate_points,lower_points,upper_points,marginal_confidence,proteins,total_groups,resolved_groups,blocks,resolved_blocks,useful
primary,Primary,MEMBRANE_INTERFACE-TM_CORE,0.5827439587742237,0.2342525902034268,0.9693052051067319,0.975,437,261,260,186,186,True
primary,Primary,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.06480166736286795,-0.8088097517660738,0.9397327572570779,0.975,229,141,140,95,95,True
bins_1,1-point bins,MEMBRANE_INTERFACE-TM_CORE,0.5721596520484916,0.23710184899367112,0.9553160792039973,0.975,398,241,240,173,173,True
bins_1,1-point bins,STRUCTURED_EXTRAMEMBRANE-TM_CORE,-0.0751355985038972,-0.9452400678821751,0.835573978900258,0.975,187,112,111,76,76,True
bins_5,5-point bins,MEMBRANE_INTERFACE-TM_CORE,0.36444583223462085,0.049074388123798524,0.7022162365173263,0.975,462,276,275,195,195,True
bins_5,5-point bins,STRUCTURED_EXTRAMEMBRANE-TM_CORE,-0.051438231443788354,-0.8982795456764947,0.793354102242691,0.975,263,158,157,105,105,True
v01_compatible,v0.1-compatible regions,MEMBRANE_INTERFACE-TM_CORE,0.3442275641286648,0.011563685344959848,0.7014715582339041,0.975,459,277,276,196,196,True
v01_compatible,v0.1-compatible regions,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.09844423172365854,-0.7654695000157489,0.927040263537106,0.975,268,159,158,105,105,True
family_novel,Family-novel subset,MEMBRANE_INTERFACE-TM_CORE,0.8072866664653277,0.4124703559124982,1.2462317477806728,0.975,284,206,206,165,165,True
family_novel,Family-novel subset,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.04379808296443834,-1.1061951851291112,1.1805205618548558,0.975,138,101,101,79,79,True
exact_construct,Exact full sequence,MEMBRANE_INTERFACE-TM_CORE,0.259700890267355,-0.3496854671545877,0.965135535016789,0.975,152,104,103,78,78,True
exact_construct,Exact full sequence,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.6948522665622124,-0.6804348044200683,2.17723959496083,0.975,75,55,54,43,43,True
unresolved_excluded,Unresolved excluded,MEMBRANE_INTERFACE-TM_CORE,0.5839130805096613,0.23408856755774574,0.9713843890218923,0.975,393,260,260,186,186,True
unresolved_excluded,Unresolved excluded,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.03798285122757743,-0.827411326835188,0.9187049026969001,0.975,212,140,140,95,95,True
broad_family,Broad grouping,MEMBRANE_INTERFACE-TM_CORE,0.6876661313123836,0.26441414792163526,1.1744828264326872,0.975,437,171,170,168,168,True
broad_family,Broad grouping,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.256747074999001,-0.889598819757301,1.3555458894978993,0.975,229,91,90,89,89,True
strict_sequence_groups,Strict sequence grouping,MEMBRANE_INTERFACE-TM_CORE,0.5621011519716382,0.2226488717017091,0.9406751446687907,0.975,437,271,270,186,186,True
strict_sequence_groups,Strict sequence grouping,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.08261129111294015,-0.7643862150918498,0.9553126063776344,0.975,229,146,145,95,95,True
identity_100,Mapped identity 100%,MEMBRANE_INTERFACE-TM_CORE,0.600333873502589,0.18898681314278956,1.0697243668072447,0.975,338,213,212,165,165,True
identity_100,Mapped identity 100%,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.45120037300267296,-0.5014473774652233,1.4293535193631852,0.975,173,110,109,81,81,True
curated_homology,Equal curated homology,MEMBRANE_INTERFACE-TM_CORE,0.6147633312564245,0.21528361193204354,1.0600550304170666,0.975,437,202,201,186,186,True
curated_homology,Equal curated homology,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.15800409689968048,-0.8694964677608539,1.1576339340804953,0.975,229,107,106,95,95,True
post_2018_release,Released after 2018-04-30,MEMBRANE_INTERFACE-TM_CORE,0.6557497667178179,0.23234447814178974,1.1162759036849763,0.975,276,179,178,131,131,True
post_2018_release,Released after 2018-04-30,STRUCTURED_EXTRAMEMBRANE-TM_CORE,0.15997959209251572,-0.8302759504437816,1.1684167595752621,0.975,178,118,117,80,80,True
